Transaction Date,Amount,Province,City,Description,Category
2023-03-06,-9.72,BC,VANCOUVER,BODY ENERGY CLUB,
2023-03-06,-13.9,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2023-03-05,-52.5,BC,VANCOUVER,PANDORA'S BOX REHEARSA,
2023-03-05,-4.98,BC,VANCOUVER,LIBERTY BAKERY,Eating Out
2023-03-03,-22.66,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-03-03,-12.37,BC,VANCOUVER,UPPER CASE,
2023-03-03,-11.5,BC,VANCOUVER,THE DELLY,
2023-03-03,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-03-01,-11.44,BC,VANCOUVER,FRESHSLICE PIZZA,
2023-03-05,25.0,TE,NNUAL FEE REBA,A,
2023-03-05,-25.0,EE,ANNUAL F,,
2023-03-02,-5.59,BC,amazon.ca/pri,Amazon.ca Prime Member,Tech/Entertainment
2023-03-02,-9.29,BC,VANCOUVER,GROCERY CHECKOUT,
2023-03-01,-37.84,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-02-28,-28.75,BC,VANCOUVER,BLAZE HAIR SALON,Clothing/Haircuts
2023-02-26,-10.81,BC,VANCOUVER,CHURCH'S CHICKEN,
2023-02-27,23.51,OU,MENT - THANK Y,PAY,
2023-02-25,-30.0,ON,MISSISSAUGA,COINAMATIC,
2023-02-24,-15.32,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2023-02-23,-49.0,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2023-02-23,-43.66,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-02-22,-38.33,BC,VANCOUVER,JUSTIN'S NF #3807,
2023-02-21,-19.2,BC,VANCOUVER,AKBAR'S OWN DINING LOU,
2023-02-22,-7.27,EU,amburg       D,STEAMGAMES.COM 4259522 H,Eating Out
2023-02-19,-34.08,BC,RICHMOND,IZUMI-YA JAPANESE MARK,
2023-02-19,-3.02,BC,RICHMOND,OSAKA #005,
2023-02-19,-13.19,BC,VANCOUVER,A & W 340,
2023-02-18,-12.6,BC,VANCOUVER,GREEN'S MARKET,
2023-02-18,-30.21,BC,VANCOUVER,LONDON DRUGS   74,Household
2023-02-18,-24.97,BC,Vancouver,Five Guys 1594,
2023-02-17,-21.17,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-02-17,-11.03,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2023-02-17,-51.24,QC,VERDUN,VIRGIN PLUS,Bills
2023-02-16,-5.23,BC,VANCOUVER,UBC BOOKSTORE,
2023-02-16,-11.54,BC,VANCOUVER,HARVEST,
2023-02-14,-19.94,BC,VANCOUVER,KOKORO TOKYO MAZESOBA,
2023-02-14,-13.64,BC,VANCOUVER,THIRSTYYY UBC,
2023-02-14,-19.15,EU,amburg       D,STEAMGAMES.COM 4259522 H,Eating Out
2023-02-13,-12.13,BC,VANCOUVER,SEOUL HOTDOG,
2023-02-13,-62.12,BC,VANCOUVER,JUSTIN'S NF #3807,
2023-02-11,-25.68,BC,VANCOUVER,DENNY'S 03-104 VANCOUV,
2023-02-11,-17.57,BC,VANCOUVER,YUNGSHANG RICE NOODLE,Eating Out
2023-02-10,-13.5,BC,VANCOUVER,MY HOME CUISINE,
2023-02-09,-5.23,BC,VANCOUVER,LA WIN SUPERMARKET,Groceries
2023-02-09,-134.98,BC,North Vancouv,SQ *TAP & BARREL SHIPY,
2023-02-07,-13.65,BC,VANCOUVER,BENTO SUSHI - UBC,Eating Out
2023-02-06,-7.84,BC,VANCOUVER,UBC BOOKSTORE,
2023-02-06,-53.99,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2023-02-05,-22.78,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
